Date,Open,High,Low,Close
2003-10-31 08:00:00,3624.25,3624.25,3622.25,3624.25
2003-10-31 08:01:00,3623.25,3625.25,3622.25,0.0
2003-10-31 08:03:00,3624.25,3625.25,3623.25,3623.25
2003-10-31 08:04:00,3622.25,3625.25,3622.25,3625.25
2003-10-31 08:05:00,3626.25,3626.25,3625.25,3625.25
2003-10-31 08:06:00,3624.25,3624.25,3621.25,3621.25
2003-10-31 08:07:00,3622.25,3622.25,3620.25,3621.25
2003-10-31 08:08:00,3620.25,3621.25,3617.25,3618.25
2003-10-31 08:09:00,3619.25,3619.25,3615.25,3617.25
2003-10-31 08:10:00,3617.25,3618.25,3616.25,3618.25
2003-10-31 08:11:00,3617.25,3620.25,3617.25,3620.25
2003-10-31 08:12:00,3621.25,3622.25,3620.25,3620.25
2003-10-31 08:13:00,3621.25,3622.25,3619.25,3619.25
2003-10-31 08:14:00,3618.25,3618.25,3615.25,3616.25
2003-10-31 08:15:00,3617.25,3617.25,3612.25,3614.25
2003-10-31 08:16:00,3613.25,3617.25,3613.25,3617.25
2003-10-31 08:17:00,3616.25,3620.25,3616.25,3619.25
2003-10-31 08:18:00,3619.25,3619.25,3617.25,3618.25
2003-10-31 08:19:00,3619.25,3622.25,3619.25,3622.25
2003-10-31 08:20:00,3623.25,3624.25,3622.25,3622.25
2003-10-31 08:21:00,3623.25,3623.25,3618.25,3619.25
2003-10-31 08:22:00,3620.25,3623.25,3620.25,3623.25
2003-10-31 08:23:00,3624.25,3625.25,3622.25,3623.25
2003-10-31 08:24:00,3622.25,3622.25,3619.25,3620.25
2003-10-31 08:25:00,3621.25,3622.25,3619.25,3621.25
2003-10-31 08:26:00,3622.25,3622.25,3621.25,3621.25
2003-10-31 08:27:00,3620.25,3621.25,3618.25,3618.25
2003-10-31 08:28:00,3619.25,3620.25,3615.25,3619.25
2003-10-31 08:29:00,3618.25,3622.25,3617.25,3622.25
2003-10-31 08:30:00,3623.25,3625.25,3622.25,3624.25
2003-10-31 08:31:00,3625.25,3628.25,3624.25,3628.25
2003-10-31 08:32:00,3629.25,3629.25,3627.25,3629.25
2003-10-31 08:33:00,3628.25,3629.25,3627.25,3628.25
2003-10-31 08:34:00,3627.25,3629.25,3627.25,3628.25
2003-10-31 08:35:00,3629.25,3630.25,3628.25,3628.25
2003-10-31 08:36:00,3629.25,3629.25,3626.25,3626.25
2003-10-31 08:37:00,3625.25,3627.25,3625.25,3627.25
2003-10-31 08:38:00,3626.25,3627.25,3626.25,3627.25
2003-10-31 08:39:00,3628.25,3628.25,3625.25,3626.25
2003-10-31 08:40:00,3625.25,3626.25,3624.25,3624.25
2003-10-31 08:41:00,3625.25,3625.25,3623.25,3624.25
2003-10-31 08:42:00,3623.25,3623.25,3622.25,3622.25
2003-10-31 08:43:00,3621.25,3622.25,3618.25,3619.25
2003-10-31 08:44:00,3618.25,3619.25,3614.25,3615.25
2003-10-31 08:45:00,3616.25,3617.25,3612.25,3614.25
2003-10-31 08:46:00,3615.25,3615.25,3608.25,3612.25
2003-10-31 08:47:00,3613.25,3615.25,3611.25,3614.25
2003-10-31 08:48:00,3613.25,3617.25,3613.25,3617.25
2003-10-31 08:49:00,3616.25,3619.25,3615.25,3619.25
2003-10-31 08:50:00,3618.25,3619.25,3617.25,3618.25
2003-10-31 08:51:00,3619.25,3623.25,3619.25,3622.25
2003-10-31 08:52:00,3621.25,3622.25,3621.25,3622.25
2003-10-31 08:53:00,3621.25,3623.25,3621.25,3623.25
2003-10-31 08:54:00,3624.25,3630.25,3624.25,3630.25
2003-10-31 08:55:00,3629.25,3632.25,3628.25,3628.25
2003-10-31 08:56:00,3629.25,3629.25,3627.25,3627.25
2003-10-31 08:57:00,3626.25,3628.25,3625.25,3627.25
2003-10-31 08:58:00,3628.25,3630.25,3627.25,3630.25
2003-10-31 08:59:00,3629.25,3630.25,3629.25,3629.25
2003-10-31 09:00:00,3628.25,3635.25,3628.25,3634.25
2003-10-31 09:01:00,3635.25,3637.25,3633.25,3633.25
2003-10-31 09:02:00,3632.25,3632.25,3629.25,3630.25
2003-10-31 09:03:00,3631.25,3631.25,3631.25,3631.25
2003-10-31 09:04:00,3630.25,3630.25,3622.25,3622.25
2003-10-31 09:05:00,3622.25,3625.25,3622.25,3625.25
2003-10-31 09:06:00,3624.25,3625.25,3623.25,3625.25
2003-10-31 09:07:00,3624.25,3627.25,3623.25,3627.25
2003-10-31 09:08:00,3628.25,3628.25,3625.25,3626.25
2003-10-31 09:09:00,3625.25,3627.25,3625.25,3627.25
2003-10-31 09:10:00,3628.25,3628.25,3624.25,3626.25
2003-10-31 09:11:00,3625.25,3626.25,3623.25,3624.25
2003-10-31 09:12:00,3625.25,3625.25,3623.25,3624.25
2003-10-31 09:13:00,3623.25,3625.25,3622.25,3625.25
2003-10-31 09:14:00,3626.25,3629.25,3625.25,3628.25
2003-10-31 09:15:00,3627.25,3630.25,3627.25,3629.25
2003-10-31 09:16:00,3630.25,3631.25,3629.25,3630.25
2003-10-31 09:17:00,3632.25,3633.25,3631.25,3632.25
2003-10-31 09:18:00,3633.25,3633.25,3631.25,3632.25
2003-10-31 09:19:00,3630.25,3630.25,3629.25,3629.25
2003-10-31 09:20:00,3628.25,3631.25,3628.25,3631.25
2003-10-31 09:21:00,3632.25,3632.25,3628.25,3628.25
2003-10-31 09:22:00,3627.25,3628.25,3626.25,3626.25
2003-10-31 09:23:00,3625.25,3630.25,3625.25,3630.25
2003-10-31 09:24:00,3629.25,3630.25,3628.25,3628.25
2003-10-31 09:25:00,3627.25,3628.25,3626.25,3626.25
2003-10-31 09:26:00,3625.25,3626.25,3625.25,3625.25
2003-10-31 09:27:00,3624.25,3626.25,3624.25,3626.25
2003-10-31 09:28:00,3625.25,3628.25,3625.25,3628.25
2003-10-31 09:29:00,3627.25,3628.25,3627.25,3627.25
2003-10-31 09:30:00,3628.25,3629.25,3628.25,3629.25
2003-10-31 09:31:00,3630.25,3630.25,3627.25,3627.25
2003-10-31 09:32:00,3628.25,3629.25,3627.25,3628.25
2003-10-31 09:33:00,3627.25,3629.25,3627.25,3629.25
2003-10-31 09:34:00,3630.25,3640.25,3630.25,3639.25
2003-10-31 09:35:00,3640.25,3640.25,3636.25,3637.25
2003-10-31 09:36:00,3636.25,3637.25,3634.25,3635.25
2003-10-31 09:37:00,3634.25,3637.25,3634.25,3635.25
2003-10-31 09:38:00,3635.25,3637.25,3635.25,3637.25
2003-10-31 09:39:00,3637.25,3638.25,3636.25,3636.25
2003-10-31 09:40:00,3637.25,3639.25,3636.25,3638.25
2003-10-31 09:41:00,3639.25,3642.25,3638.25,3639.25
2003-10-31 09:42:00,3640.25,3641.25,3638.25,3638.25
2003-10-31 09:43:00,3639.25,3641.25,3638.25,3638.25
2003-10-31 09:44:00,3639.25,3640.25,3638.25,3640.25
2003-10-31 09:45:00,3641.25,3642.25,3640.25,3640.25
2003-10-31 09:46:00,3641.25,3642.25,3640.25,3642.25
2003-10-31 09:47:00,3641.25,3644.25,3641.25,3642.25
2003-10-31 09:48:00,3643.25,3643.25,3638.25,3639.25
2003-10-31 09:49:00,3638.25,3639.25,3637.25,3638.25
2003-10-31 09:50:00,3639.25,3639.25,3638.25,3639.25
2003-10-31 09:51:00,3638.25,3639.25,3637.25,3638.25
2003-10-31 09:52:00,3639.25,3639.25,3638.25,3638.25
2003-10-31 09:53:00,3637.25,3638.25,3637.25,3637.25
2003-10-31 09:54:00,3638.25,3638.25,3637.25,3637.25
2003-10-31 09:55:00,3638.25,3638.25,3637.25,3638.25
2003-10-31 09:56:00,3637.25,3638.25,3637.25,3637.25
2003-10-31 09:57:00,3638.25,3638.25,3635.25,3635.25
2003-10-31 09:58:00,3634.25,3635.25,3633.25,3633.25
2003-10-31 09:59:00,3634.25,3634.25,3633.25,3634.25
2003-10-31 10:00:00,3635.25,3636.25,3635.25,3636.25
2003-10-31 10:01:00,3635.25,3636.25,3634.25,3635.25
2003-10-31 10:02:00,3636.25,3637.25,3635.25,3637.25
2003-10-31 10:03:00,3638.25,3638.25,3636.25,3637.25
2003-10-31 10:04:00,3636.25,3636.25,3636.25,3636.25
2003-10-31 10:05:00,3637.25,3637.25,3635.25,3636.25
2003-10-31 10:06:00,3635.25,3635.25,3632.25,3633.25
2003-10-31 10:07:00,3632.25,3634.25,3632.25,3634.25
2003-10-31 10:08:00,3635.25,3635.25,3634.25,3634.25
2003-10-31 10:09:00,3633.25,3634.25,3632.25,3634.25
2003-10-31 10:10:00,3633.25,3635.25,3633.25,3635.25
2003-10-31 10:13:00,3634.25,3635.25,3634.25,3635.25
2003-10-31 10:14:00,3634.25,3634.25,3634.25,3634.25
2003-10-31 10:15:00,3635.25,3635.25,3634.25,3634.25
2003-10-31 10:16:00,3633.25,3633.25,3633.25,3633.25
2003-10-31 10:17:00,3634.25,3634.25,3632.25,3633.25
2003-10-31 10:18:00,3632.25,3632.25,3630.25,3631.25
2003-10-31 10:19:00,3630.25,3632.25,3630.25,3632.25
2003-10-31 10:21:00,3631.25,3632.25,3631.25,3632.25
2003-10-31 10:22:00,3633.25,3634.25,3633.25,3633.25
2003-10-31 10:23:00,3634.25,3634.25,3632.25,3633.25
2003-10-31 10:24:00,3632.25,3633.25,3632.25,3632.25
2003-10-31 10:25:00,3631.25,3632.25,3629.25,3630.25
2003-10-31 10:26:00,3629.25,3631.25,3629.25,3631.25
2003-10-31 10:28:00,3632.25,3632.25,3629.25,3629.25
2003-10-31 10:29:00,3630.25,3630.25,3627.25,3627.25
2003-10-31 10:30:00,3628.25,3629.25,3627.25,3628.25
2003-10-31 10:31:00,3627.25,3627.25,3626.25,3626.25
2003-10-31 10:32:00,3625.25,3627.25,3625.25,3626.25
2003-10-31 10:33:00,3627.25,3627.25,3624.25,3626.25
2003-10-31 10:34:00,3625.25,3626.25,3625.25,3626.25
2003-10-31 10:35:00,3627.25,3627.25,3625.25,3625.25
2003-10-31 10:36:00,3624.25,3626.25,3624.25,3626.25
2003-10-31 10:37:00,3625.25,3626.25,3619.25,3622.25
2003-10-31 10:38:00,3623.25,3623.25,3621.25,3621.25
2003-10-31 10:39:00,3620.25,3622.25,3620.25,3622.25
2003-10-31 10:40:00,3623.25,3623.25,3622.25,3623.25
2003-10-31 10:41:00,3624.25,3624.25,3624.25,3624.25
2003-10-31 10:42:00,3625.25,3625.25,3624.25,3624.25
2003-10-31 10:43:00,3625.25,3627.25,3625.25,3627.25
2003-10-31 10:44:00,3628.25,3630.25,3627.25,3629.25
2003-10-31 10:45:00,3628.25,3630.25,3627.25,3630.25
2003-10-31 10:46:00,3631.25,3631.25,3630.25,3630.25
2003-10-31 10:47:00,3629.25,3630.25,3628.25,3629.25
2003-10-31 10:48:00,3630.25,3630.25,3629.25,3630.25
2003-10-31 10:49:00,3629.25,3629.25,3629.25,3629.25
2003-10-31 10:51:00,3630.25,3630.25,3628.25,3629.25
2003-10-31 10:52:00,3628.25,3628.25,3628.25,3628.25
2003-10-31 10:53:00,3629.25,3629.25,3628.25,3628.25
2003-10-31 10:55:00,3627.25,3628.25,3627.25,3627.25
2003-10-31 10:56:00,3626.25,3628.25,3626.25,3627.25
2003-10-31 10:57:00,3626.25,3628.25,3626.25,3628.25
2003-10-31 10:58:00,3627.25,3628.25,3626.25,3627.25
2003-10-31 10:59:00,3628.25,3628.25,3627.25,3627.25
2003-10-31 11:00:00,3627.25,3628.25,3626.25,3627.25
2003-10-31 11:01:00,3628.25,3628.25,3627.25,3627.25
2003-10-31 11:02:00,3626.25,3626.25,3625.25,3626.25
2003-10-31 11:03:00,3625.25,3627.25,3625.25,3625.25
2003-10-31 11:04:00,3624.25,3625.25,3623.25,3625.25
2003-10-31 11:05:00,3624.25,3625.25,3623.25,3624.25
2003-10-31 11:06:00,3623.25,3625.25,3623.25,3625.25
2003-10-31 11:07:00,3624.25,3625.25,3622.25,3624.25
2003-10-31 11:08:00,3623.25,3623.25,3622.25,3622.25
2003-10-31 11:09:00,3623.25,3626.25,3623.25,3625.25
2003-10-31 11:10:00,3624.25,3625.25,3624.25,3625.25
2003-10-31 11:12:00,3626.25,3628.25,3626.25,3627.25
2003-10-31 11:13:00,3628.25,3628.25,3627.25,3628.25
2003-10-31 11:14:00,3629.25,3629.25,3626.25,3627.25
2003-10-31 11:15:00,3628.25,3628.25,3627.25,3627.25
2003-10-31 11:17:00,3626.25,3626.25,3626.25,3626.25
2003-10-31 11:18:00,3625.25,3625.25,3623.25,3624.25
2003-10-31 11:19:00,3625.25,3625.25,3624.25,3625.25
2003-10-31 11:20:00,3624.25,3624.25,3623.25,3624.25
2003-10-31 11:21:00,3625.25,3625.25,3625.25,3625.25
2003-10-31 11:22:00,3624.25,3624.25,3624.25,3624.25
2003-10-31 11:24:00,3625.25,3625.25,3624.25,3625.25
2003-10-31 11:25:00,3624.25,3628.25,3624.25,3627.25
2003-10-31 11:26:00,3628.25,3630.25,3628.25,3629.25
2003-10-31 11:27:00,3628.25,3630.25,3628.25,3629.25
2003-10-31 11:28:00,3628.25,3630.25,3628.25,3630.25
2003-10-31 11:29:00,3629.25,3630.25,3629.25,3629.25
2003-10-31 11:30:00,3628.25,3630.25,3628.25,3630.25
2003-10-31 11:31:00,3629.25,3630.25,3629.25,3630.25
2003-10-31 11:32:00,3631.25,3631.25,3629.25,3629.25
2003-10-31 11:33:00,3630.25,3630.25,3629.25,3629.25
2003-10-31 11:34:00,3629.25,3630.25,3629.25,3629.25
2003-10-31 11:35:00,3630.25,3632.25,3630.25,3632.25
2003-10-31 11:36:00,3631.25,3632.25,3631.25,3632.25
2003-10-31 11:37:00,3631.25,3632.25,3631.25,3631.25
2003-10-31 11:39:00,3630.25,3631.25,3630.25,3630.25
2003-10-31 11:40:00,3631.25,3631.25,3629.25,3629.25
2003-10-31 11:41:00,3630.25,3630.25,3629.25,3629.25
2003-10-31 11:42:00,3630.25,3630.25,3630.25,3630.25
2003-10-31 11:43:00,3629.25,3629.25,3629.25,3629.25
2003-10-31 11:44:00,3628.25,3630.25,3628.25,3630.25
2003-10-31 11:46:00,3631.25,3631.25,3631.25,3631.25
2003-10-31 11:47:00,3630.25,3631.25,3630.25,3631.25
2003-10-31 11:48:00,3630.25,3631.25,3630.25,3631.25
2003-10-31 11:49:00,3632.25,3633.25,3632.25,3632.25
2003-10-31 11:50:00,3633.25,3633.25,3632.25,3632.25
2003-10-31 11:51:00,3633.25,3633.25,3632.25,3633.25
2003-10-31 11:52:00,3632.25,3633.25,3632.25,3633.25
2003-10-31 11:53:00,3634.25,3634.25,3633.25,3634.25
2003-10-31 11:54:00,3633.25,3633.25,3632.25,3633.25
